Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
apple,blue,black_avocado,blue_apple,0.032,0.00285714285714286,0.0657142857142857
apple,blue,black_pepper,blue_apple,0.031,0.00642857142857143,0.0642857142857143
apple,blue,blue_apple,blue_apple,0.909,0.8686203125,0.9434390625
apple,blue,blue_banana,blue_apple,0.06,0.0253846153846154,0.103846153846154
apple,blue,brown_banana,blue_apple,0.038,0.004,0.073
apple,blue,brown_carrot,blue_apple,0.032,0.00769230769230769,0.0669230769230769
apple,blue,green_apple,blue_apple,0.153,0.1235625,0.18219375
apple,blue,green_avocado,blue_apple,0.023,0.00943055555555556,0.0422222222222222
apple,blue,green_pear,blue_apple,0.026,0.00333333333333333,0.0541666666666667
apple,blue,green_pepper,blue_apple,0.069,0.01875,0.13875
apple,blue,green_tomato,blue_apple,0.021,0.005,0.0435714285714286
apple,blue,orange_carrot,blue_apple,0.025,0.00733333333333333,0.0486833333333333
apple,blue,orange_pear,blue_apple,0.014,0.00428571428571429,0.025
apple,blue,orange_pepper,blue_apple,0.026,0.00764705882352941,0.05825
apple,blue,purple_carrot,blue_apple,0.034,0.00769230769230769,0.0653846153846154
apple,blue,purple_tomato,blue_apple,0.143,0.00555555555555556,0.34
apple,blue,red_apple,blue_apple,0.143,0.1158734375,0.170628125
apple,blue,red_avocado,blue_apple,0.042,0.00466666666666667,0.0826833333333333
apple,blue,red_pepper,blue_apple,0.01,0.00166666666666667,0.0211111111111111
apple,blue,red_tomato,blue_apple,0.057,0.0163157894736842,0.115276315789474
apple,blue,yellow_banana,blue_apple,0.049,0.0215384615384615,0.0800192307692307
apple,blue,yellow_pear,blue_apple,0.026,0.005,0.0628571428571429
apple,green,black_avocado,green_apple,0.058,0.0175,0.1185
apple,green,black_pepper,green_apple,0.044,0.0111764705882353,0.0811764705882353
apple,green,blue_apple,green_apple,0.162,0.13398125,0.193125
apple,green,blue_banana,green_apple,0.037,0.0107142857142857,0.0771428571428572
apple,green,brown_banana,green_apple,0.038,0.0115192307692308,0.0746153846153846
apple,green,brown_carrot,green_apple,0.014,0.00641071428571429,0.025
apple,green,green_apple,green_apple,0.967,0.9493046875,0.9815671875
apple,green,green_avocado,green_apple,0.065,0.02,0.12205
apple,green,green_pear,green_apple,0.069,0.017,0.123025
apple,green,green_pepper,green_apple,0.06,0.0154545454545455,0.109090909090909
apple,green,green_tomato,green_apple,0.039,0.0136363636363636,0.0718181818181818
apple,green,orange_carrot,green_apple,0.045,0.00428571428571429,0.097875
apple,green,orange_pear,green_apple,0.072,0.0215384615384615,0.136153846153846
apple,green,orange_pepper,green_apple,0.022,0.00266666666666667,0.046
apple,green,purple_carrot,green_apple,0.028,0.00875,0.04875
apple,green,purple_tomato,green_apple,0.068,0.004,0.181
apple,green,red_apple,green_apple,0.212,0.177809375,0.245015625
apple,green,red_avocado,green_apple,0.022,0.00725,0.0436363636363636
apple,green,red_pepper,green_apple,0.033,0.00642857142857143,0.0721428571428571
apple,green,red_tomato,green_apple,0.075,0.01,0.174303571428571
apple,green,yellow_banana,green_apple,0.016,0.0080952380952381,0.0257142857142857
apple,green,yellow_pear,green_apple,0.037,0.0135535714285714,0.072875
apple,red,black_avocado,red_apple,0.022,0.006,0.045025
apple,red,black_pepper,red_apple,0.037,0.0075,0.0658333333333333
apple,red,blue_apple,red_apple,0.153,0.12605625,0.1797515625
apple,red,blue_banana,red_apple,0.018,0.004,0.036
apple,red,brown_banana,red_apple,0.028,0.008,0.051
apple,red,brown_carrot,red_apple,0.026,0.0117647058823529,0.0429411764705882
apple,red,green_apple,red_apple,0.233,0.19693125,0.27000625
apple,red,green_avocado,red_apple,0.022,0.00681818181818182,0.0472727272727273
apple,red,green_pear,red_apple,0.038,0.00181818181818182,0.1
apple,red,green_pepper,red_apple,0.042,0.00166666666666666,0.100833333333333
apple,red,green_tomato,red_apple,0.034,0.00357142857142857,0.0835714285714286
apple,red,orange_carrot,red_apple,0.02,0.00642857142857143,0.0371428571428571
apple,red,orange_pear,red_apple,0.054,0.007,0.14
apple,red,orange_pepper,red_apple,0.044,0.0107142857142857,0.0829107142857143
apple,red,purple_carrot,red_apple,0.028,0.00333333333333333,0.0683333333333333
apple,red,purple_tomato,red_apple,0.009,0,0.025
apple,red,red_apple,red_apple,0.982,0.9760625,0.987503125
apple,red,red_avocado,red_apple,0.073,0.0278947368421053,0.126842105263158
apple,red,red_pepper,red_apple,0.064,0.026,0.117333333333333
apple,red,red_tomato,red_apple,0.12,0.0494880952380952,0.224285714285714
apple,red,yellow_banana,red_apple,0.063,0.0172083333333333,0.121680555555556
apple,red,yellow_pear,red_apple,0.019,0.005,0.0383333333333333
avocado,black,black_avocado,black_avocado,0.939,0.9146828125,0.9605015625
avocado,black,black_pepper,black_avocado,0.129,0.0406333333333333,0.244066666666667
avocado,black,blue_apple,black_avocado,0.021,0.00866666666666667,0.0393333333333333
avocado,black,blue_banana,black_avocado,0.022,0.007,0.042
avocado,black,brown_banana,black_avocado,0.019,0.00531666666666667,0.0393666666666666
avocado,black,brown_carrot,black_avocado,0.053,0.0222222222222222,0.0916805555555556
avocado,black,green_apple,black_avocado,0.029,0.00923076923076923,0.0507692307692308
avocado,black,green_avocado,black_avocado,0.35,0.306578125,0.3933203125
avocado,black,green_pear,black_avocado,0.024,0.00571428571428571,0.0457142857142857
avocado,black,green_pepper,black_avocado,0.046,0.0176923076923077,0.0784615384615385
avocado,black,green_tomato,black_avocado,0.005,0.000714285714285714,0.01
avocado,black,orange_carrot,black_avocado,0.019,0.00116176470588236,0.0429558823529412
avocado,black,orange_pear,black_avocado,0.018,0.00176470588235294,0.0394117647058824
avocado,black,orange_pepper,black_avocado,0.018,0.00285714285714286,0.0414285714285714
avocado,black,purple_carrot,black_avocado,0.015,0,0.0336363636363636
avocado,black,purple_tomato,black_avocado,0.04,0,0.1
avocado,black,red_apple,black_avocado,0.034,0.0115,0.0635125
avocado,black,red_avocado,black_avocado,0.184,0.155625,0.2123140625
avocado,black,red_pepper,black_avocado,0.023,0.00466666666666667,0.0473333333333333
avocado,black,red_tomato,black_avocado,0.012,0.003,0.022
avocado,black,yellow_banana,black_avocado,0.019,0.00714285714285714,0.0338095238095238
avocado,black,yellow_pear,black_avocado,0.085,0.0292307692307692,0.146923076923077
avocado,green,black_avocado,green_avocado,0.266,0.229625,0.302946875
avocado,green,black_pepper,green_avocado,0.042,0.00846153846153846,0.0815576923076923
avocado,green,blue_apple,green_avocado,0.051,0.0208333333333333,0.0816666666666667
avocado,green,blue_banana,green_avocado,0.016,0.00181818181818182,0.0354545454545455
avocado,green,brown_banana,green_avocado,0.017,0.00333333333333333,0.0341875
avocado,green,brown_carrot,green_avocado,0.022,0.0055,0.0445125
avocado,green,green_apple,green_avocado,0.06,0.00818181818181819,0.130909090909091
avocado,green,green_avocado,green_avocado,0.966,0.9489359375,0.9797515625
avocado,green,green_pear,green_avocado,0.019,0.00454545454545455,0.0372954545454545
avocado,green,green_pepper,green_avocado,0.14,0.0664285714285714,0.229285714285714
avocado,green,green_tomato,green_avocado,0.087,0.0372222222222222,0.146152777777778
avocado,green,orange_carrot,green_avocado,0.006,0,0.013
avocado,green,orange_pear,green_avocado,0.021,0.00266666666666667,0.0480166666666667
avocado,green,orange_pepper,green_avocado,0.036,0.00357142857142857,0.0900535714285714
avocado,green,purple_carrot,green_avocado,0.153,0.038,0.306716666666667
avocado,green,purple_tomato,green_avocado,0.025,0.00363636363636364,0.0536363636363636
avocado,green,red_apple,green_avocado,0.031,0.00857142857142857,0.067875
avocado,green,red_avocado,green_avocado,0.198,0.165684375,0.2316921875
avocado,green,red_pepper,green_avocado,0.038,0.0110526315789474,0.0726315789473684
avocado,green,red_tomato,green_avocado,0.065,0.0193333333333333,0.13335
avocado,green,yellow_banana,green_avocado,0.052,0.008,0.128
avocado,green,yellow_pear,green_avocado,0.023,0.006234375,0.044375
avocado,red,black_avocado,red_avocado,0.312,0.2679828125,0.3560015625
avocado,red,black_pepper,red_avocado,0.065,0.0179166666666667,0.147916666666667
avocado,red,blue_apple,red_avocado,0.017,0.00181818181818182,0.0445454545454545
avocado,red,blue_banana,red_avocado,0.043,0.00894736842105263,0.0931842105263158
avocado,red,brown_banana,red_avocado,0.028,0.00543181818181818,0.06
avocado,red,brown_carrot,red_avocado,0.048,0.0204875,0.0775
avocado,red,green_apple,red_avocado,0.042,0.019047619047619,0.0681071428571429
avocado,red,green_avocado,red_avocado,0.252,0.2149359375,0.2910078125
avocado,red,green_pear,red_avocado,0.035,0.0116666666666667,0.0625
avocado,red,green_pepper,red_avocado,0.089,0.0445227272727273,0.15
avocado,red,green_tomato,red_avocado,0.036,0.0118068181818182,0.0718295454545455
avocado,red,orange_carrot,red_avocado,0.058,0.023125,0.09625
avocado,red,orange_pear,red_avocado,0.064,0.0223809523809524,0.113821428571429
avocado,red,orange_pepper,red_avocado,0.052,0.025,0.0830769230769231
avocado,red,purple_carrot,red_avocado,0.051,0.005,0.10875
avocado,red,purple_tomato,red_avocado,0.114,0.025,0.21375
avocado,red,red_apple,red_avocado,0.157,0.0214107142857143,0.330732142857143
avocado,red,red_avocado,red_avocado,0.848,0.8045234375,0.8843859375
avocado,red,red_pepper,red_avocado,0.187,0.050609375,0.366921875
avocado,red,red_tomato,red_avocado,0.108,0.0123529411764706,0.238838235294118
avocado,red,yellow_banana,red_avocado,0.033,0.00769230769230769,0.06
avocado,red,yellow_pear,red_avocado,0.041,0.0157142857142857,0.0721428571428571
banana,blue,black_avocado,blue_banana,0.041,0.012,0.073
banana,blue,black_pepper,blue_banana,0.036,0.006,0.0726666666666667
banana,blue,blue_apple,blue_banana,0.082,0.033975,0.1420125
banana,blue,blue_banana,blue_banana,0.916,0.8805453125,0.9478125
banana,blue,brown_banana,blue_banana,0.148,0.121809375,0.174446875
banana,blue,brown_carrot,blue_banana,0.028,0.00166666666666667,0.0750416666666666
banana,blue,green_apple,blue_banana,0.02,0.00951190476190476,0.0323809523809524
banana,blue,green_avocado,blue_banana,0.005,0.00142857142857143,0.00857142857142857
banana,blue,green_pear,blue_banana,0.025,0.005,0.0533541666666667
banana,blue,green_pepper,blue_banana,0.014,0.0025,0.03375
banana,blue,green_tomato,blue_banana,0.017,0.0075,0.027515625
banana,blue,orange_carrot,blue_banana,0.025,0.0107142857142857,0.0414285714285714
banana,blue,orange_pear,blue_banana,0.018,0.0075,0.0308333333333333
banana,blue,orange_pepper,blue_banana,0.037,0.0141176470588235,0.0694264705882353
banana,blue,purple_carrot,blue_banana,0.024,0.00272727272727273,0.0509090909090909
banana,blue,purple_tomato,blue_banana,0.001,0,0.00428571428571429
banana,blue,red_apple,blue_banana,0.027,0.009,0.046
banana,blue,red_avocado,blue_banana,0.041,0.0173333333333333,0.068
banana,blue,red_pepper,blue_banana,0.008,0.001,0.018025
banana,blue,red_tomato,blue_banana,0.014,0.00428571428571429,0.0271428571428571
banana,blue,yellow_banana,blue_banana,0.149,0.119928125,0.178078125
banana,blue,yellow_pear,blue_banana,0.014,0.004,0.0273333333333333
banana,brown,black_avocado,brown_banana,0.009,0.00222222222222222,0.0177777777777778
banana,brown,black_pepper,brown_banana,0.032,0.0146153846153846,0.0538461538461538
banana,brown,blue_apple,brown_banana,0.126,0.00909090909090909,0.264590909090909
banana,brown,blue_banana,brown_banana,0.151,0.1262484375,0.17919375
banana,brown,brown_banana,brown_banana,0.909,0.87668125,0.9364390625
banana,brown,brown_carrot,brown_banana,0.053,0.0183333333333333,0.1
banana,brown,green_apple,brown_banana,0.016,0.00142857142857143,0.0371607142857143
banana,brown,green_avocado,brown_banana,0.021,0.00846153846153846,0.0369230769230769
banana,brown,green_pear,brown_banana,0.023,0.00630263157894737,0.0442105263157895
banana,brown,green_pepper,brown_banana,0.004,0,0.008
banana,brown,green_tomato,brown_banana,0.003,0,0.00571428571428571
banana,brown,orange_carrot,brown_banana,0.02,0.005,0.045
banana,brown,orange_pear,brown_banana,0.025,0.008,0.0465125
banana,brown,orange_pepper,brown_banana,0.049,0.0129411764705882,0.0958970588235294
banana,brown,purple_carrot,brown_banana,0.044,0.0125,0.08503125
banana,brown,purple_tomato,brown_banana,0.004,0,0.00875
banana,brown,red_apple,brown_banana,0.018,0.00907954545454545,0.0286363636363636
banana,brown,red_avocado,brown_banana,0.01,0.00125,0.023125
banana,brown,red_pepper,brown_banana,0.025,0.00414583333333333,0.0516666666666667
banana,brown,red_tomato,brown_banana,0.034,0.00428571428571429,0.075
banana,brown,yellow_banana,brown_banana,0.3,0.2615546875,0.338071875
banana,brown,yellow_pear,brown_banana,0.045,0.019047619047619,0.0776309523809524
banana,yellow,black_avocado,yellow_banana,0.046,0.02075,0.0715384615384615
banana,yellow,black_pepper,yellow_banana,0.044,0.0145454545454545,0.0781818181818182
banana,yellow,blue_apple,yellow_banana,0.029,0.00851851851851852,0.0551944444444444
banana,yellow,blue_banana,yellow_banana,0.162,0.134175,0.191384375
banana,yellow,brown_banana,yellow_banana,0.224,0.1916734375,0.2585015625
banana,yellow,brown_carrot,yellow_banana,0.028,0.004375,0.056890625
banana,yellow,green_apple,yellow_banana,0.05,0.0106964285714286,0.117857142857143
banana,yellow,green_avocado,yellow_banana,0.055,0.0168421052631579,0.113157894736842
banana,yellow,green_pear,yellow_banana,0.091,0.0129264705882353,0.220617647058823
banana,yellow,green_pepper,yellow_banana,0.056,0.0205,0.103171052631579
banana,yellow,green_tomato,yellow_banana,0.039,0.00444444444444445,0.095
banana,yellow,orange_carrot,yellow_banana,0.029,0.00888888888888889,0.0555555555555556
banana,yellow,orange_pear,yellow_banana,0.015,0.00214285714285714,0.0357321428571428
banana,yellow,orange_pepper,yellow_banana,0.045,0.0133333333333333,0.0826833333333333
banana,yellow,purple_carrot,yellow_banana,0.061,0.0125,0.115020833333333
banana,yellow,purple_tomato,yellow_banana,0.162,0.005,0.455
banana,yellow,red_apple,yellow_banana,0.028,0.0123076923076923,0.0484615384615385
banana,yellow,red_avocado,yellow_banana,0.022,0.005625,0.04375
banana,yellow,red_pepper,yellow_banana,0.03,0.0114285714285714,0.0566785714285714
banana,yellow,red_tomato,yellow_banana,0.024,0.008125,0.0425
banana,yellow,yellow_banana,yellow_banana,0.975,0.9594359375,0.9856265625
banana,yellow,yellow_pear,yellow_banana,0.068,0.02625,0.125015625
carrot,brown,black_avocado,brown_carrot,0.018,0.00382692307692308,0.0407692307692308
carrot,brown,black_pepper,brown_carrot,0.041,0.0183333333333333,0.0638888888888889
carrot,brown,blue_apple,brown_carrot,0.035,0.0115789473684211,0.066328947368421
carrot,brown,blue_banana,brown_carrot,0.013,0.005975,0.022
carrot,brown,brown_banana,brown_carrot,0.011,0.00357142857142857,0.02
carrot,brown,brown_carrot,brown_carrot,0.875,0.83775,0.907078125
carrot,brown,green_apple,brown_carrot,0.044,0.0055,0.1185125
carrot,brown,green_avocado,brown_carrot,0.03,0.0108333333333333,0.0541666666666667
carrot,brown,green_pear,brown_carrot,0.027,0.001,0.068
carrot,brown,green_pepper,brown_carrot,0.06,0.00933333333333333,0.142066666666667
carrot,brown,green_tomato,brown_carrot,0.021,0.008125,0.03625
carrot,brown,orange_carrot,brown_carrot,0.238,0.2020578125,0.275503125
carrot,brown,orange_pear,brown_carrot,0.044,0.004975,0.101
carrot,brown,orange_pepper,brown_carrot,0.102,0.028,0.19105
carrot,brown,purple_carrot,brown_carrot,0.205,0.13838,0.273805
carrot,brown,purple_tomato,brown_carrot,0.116,0.02625,0.22753125
carrot,brown,red_apple,brown_carrot,0.04,0.00333333333333333,0.10935
carrot,brown,red_avocado,brown_carrot,0.02,0.00625,0.0375
carrot,brown,red_pepper,brown_carrot,0.027,0.00857142857142857,0.05
carrot,brown,red_tomato,brown_carrot,0.063,0.024375,0.099375
carrot,brown,yellow_banana,brown_carrot,0.005,0,0.011
carrot,brown,yellow_pear,brown_carrot,0.037,0.00498611111111111,0.0772361111111111
carrot,orange,black_avocado,orange_carrot,0.025,0.00285714285714286,0.0507321428571428
carrot,orange,black_pepper,orange_carrot,0.019,0.005625,0.033125
carrot,orange,blue_apple,orange_carrot,0.033,0.0114875,0.0600125
carrot,orange,blue_banana,orange_carrot,0.032,0.0111617647058824,0.0558970588235294
carrot,orange,brown_banana,orange_carrot,0.024,0.006875,0.046265625
carrot,orange,brown_carrot,orange_carrot,0.249,0.213859375,0.28744375
carrot,orange,green_apple,orange_carrot,0.049,0.0105416666666667,0.112222222222222
carrot,orange,green_avocado,orange_carrot,0.024,0.00181818181818182,0.0509090909090909
carrot,orange,green_pear,orange_carrot,0.019,0.00498214285714286,0.0378571428571429
carrot,orange,green_pepper,orange_carrot,0.013,0.00545454545454545,0.0209090909090909
carrot,orange,green_tomato,orange_carrot,0.023,0.006875,0.04315625
carrot,orange,orange_carrot,orange_carrot,0.971,0.9548125,0.9823765625
carrot,orange,orange_pear,orange_carrot,0.044,0.0152065217391304,0.0843478260869565
carrot,orange,orange_pepper,orange_carrot,0.061,0.0178571428571429,0.114285714285714
carrot,orange,purple_carrot,orange_carrot,0.119,0.0660260416666667,0.174375
carrot,orange,purple_tomato,orange_carrot,0.083,0.00333333333333333,0.237520833333333
carrot,orange,red_apple,orange_carrot,0.033,0.00470588235294118,0.0705882352941176
carrot,orange,red_avocado,orange_carrot,0.035,0.00928571428571429,0.0714285714285714
carrot,orange,red_pepper,orange_carrot,0.011,0.00571428571428571,0.0178571428571429
carrot,orange,red_tomato,orange_carrot,0.11,0.01,0.291464285714286
carrot,orange,yellow_banana,orange_carrot,0.066,0.012125,0.137160714285714
carrot,orange,yellow_pear,orange_carrot,0.039,0.0158823529411765,0.0706029411764706
carrot,purple,black_avocado,purple_carrot,0.041,0.004,0.094
