color,size,condition,othercolor,item
color,size,color42,othercolor,item
color,size,color31,othercolor,item
color,size,size32,othercolor,item
color,size,color21,othercolor,item
color,size,size22,othercolor,item
color,size,color32,othercolor,item
color,size,size42,othercolor,item
color,size,size33,othercolor,item
color,size,size44,othercolor,item
color,size,color22,othercolor,item
color,size,size43,othercolor,item
color,size,color41,othercolor,item
color,size,size21,othercolor,item
color,size,size41,othercolor,item
color,size,color43,othercolor,item
color,size,color33,othercolor,item
color,size,color44,othercolor,item
color,size,size31,othercolor,item